"n_obs" "em_cl_N" "em_cl_loglike" "em_el_N" "em_el_loglike" "em_pel_N" "em_pel_loglike" "opt_cl_N" "opt_cl_loglike" "opt_el_N" "opt_el_loglike" "opt_pel_N" "opt_pel_loglike"
132 208.17257424371 -750.447534037034 208.17257424371 -750.447534037034 206.718337769518 -750.465693706213 218.617639253872 -103.037150784007 208.833577447818 -750.447428126242 207.317878697867 -750.465597152009
124 200.662618929012 -687.648009946591 200.662618929012 -687.648009946591 194.900271537632 -687.709624938044 216.311272639759 -87.0535510210736 201.64009557134 -687.647855062592 195.626906698261 -687.709500730338
118 255.866300112783 -640.777772986785 255.866300112783 -640.777772986785 221.784270725847 -641.019927212594 283.079974133021 -74.8181782632743 258.502930856034 -640.77752320318 222.793548472522 -641.019806597187
131 224.113156501874 -737.502743607701 224.113156501874 -737.502743607701 214.065086741492 -737.570416376197 252.732557314947 -95.8920090952109 226.264156712038 -737.502410141889 215.371740722905 -737.570192840565
131 163.134829888874 -746.076409894563 163.134829888874 -746.076409894563 163.033250415992 -746.078786110781 167.612660726232 -104.851780704713 163.282412274343 -746.076371057041 163.168350359392 -746.078751200057
128 188.958995422868 -720.616787198526 188.958995422868 -720.616787198526 187.830381950725 -720.633810571421 197.798533482275 -96.752064467701 189.425881629322 -720.616703944856 188.273046117175 -720.633728289299
119 170.966847460817 -660.778135443089 170.966847460817 -660.778135443089 169.940205104675 -660.795302149525 179.269451520514 -89.3206945774784 171.376445600941 -660.778054231722 170.303229941901 -660.795230890414
130 214.773161485201 -722.284000409869 214.773161485201 -722.284000409869 206.661835023897 -722.361603983684 234.007411473847 -86.5826919908975 216.104719130652 -722.283783374155 207.512613813327 -722.361454144799
138 248.754392273998 -771.001877979153 248.754392273998 -771.001877979153 233.058264968691 -771.128453065549 272.022891277235 -88.0333776265209 250.676748895959 -771.001637503282 234.121962581814 -771.128303989466
137 184.252931840658 -777.078663478216 184.252931840658 -777.078663478216 183.668013076007 -777.090815340553 190.775196994621 -100.315886049391 184.53189664505 -777.078605891129 183.936811785885 -777.090758202338
131 178.412670111251 -746.817969210197 178.412670111251 -746.817969210197 178.061623805035 -746.824154382703 185.201178683218 -105.445792446461 178.715360737993 -746.817904156648 178.347964740669 -746.824093499204
124 138.023047997572 -694.781009671284 138.023047997572 -694.781009671284 138.013517635123 -694.781224903665 140.079969087342 -94.8431675584093 138.060241414516 -694.780995386854 138.049991525793 -694.781211058026
126 179.285396736183 -710.086518280316 179.285396736183 -710.086518280316 178.782445943213 -710.095489354098 185.786118599387 -97.9617738694599 179.579570671309 -710.086464192049 179.078347253694 -710.095432211879
131 210.431741509547 -743.330725592858 210.431741509547 -743.330725592858 208.2308495708 -743.353345049785 224.239496421982 -101.782848967312 211.358392894172 -743.330555694522 209.027972199292 -743.353197242125
137 204.180088143742 -787.99103214599 204.180088143742 -787.99103214599 203.805356658558 -787.997151792298 210.639538013456 -111.112910266373 204.532098909711 -787.990973567028 204.149336067535 -787.997093754401
126 259.745445369737 -698.83988552843 259.745445369737 -698.83988552843 242.337982743044 -698.961226610173 282.33778334767 -86.4414946823313 261.902254575647 -698.839658881133 243.590320421957 -698.961080832953
135 288.758367272226 -754.129146862063 288.758367272226 -754.129146862063 245.459699158314 -754.353307161965 333.857909735614 -88.826559544427 293.640747043677 -754.128630833051 246.893554495801 -754.353099322281
