"B_N_Mh" "B_N_Mhb" "C_N_Mh" "C_N_Mhb"
166.80940640287 176.802439722986 214.996269684695 180.762649423007
167.080943829218 182.319956458723 229.006480268989 196.35194233764
163.124472814257 177.294538645627 228.195038122623 177.099803899838
159.581425665462 177.562382939626 245.104645678153 204.014972940319
162.934598591889 174.574320233304 199.371996843504 171.678249232393
183.190373465795 210.577546641216 226.492018233637 204.137126803496
178.217655803785 206.070974484866 294.19836952617 217.537463620652
196.688598736428 307.859726306284 362.615789016701 284.891413159025
181.952432154736 211.746218751389 298.173126048611 215.977021660031
184.460742550108 213.117397125651 272.798567553242 202.818764133851
177.088957756276 184.112757213994 233.280039841545 183.359146111278
175.231905434687 183.256529673937 214.448559926037 180.466056648767
192.68745313138 208.155678196663 241.522646069486 192.140276306612
198.201179238006 238.188659436127 282.95882861189 239.233392239888
173.278241605273 189.807984550084 235.199233268838 192.727131337174
177.863247301074 203.529719362597 242.564590810248 200.578061043112
174.649619333129 212.646546361074 307.02956215007 235.398910858632
169.46822564202 188.268121769643 223.968374490229 187.092251005545
166.530906944445 192.429104743022 257.641648743178 208.059542760399
159.458034714123 173.881274922414 215.917219589322 175.179459177673
185.942514294656 221.42039392469 261.60677187261 223.228158926183
185.284363364044 204.807959571848 265.626631990607 201.989997858102
180.545643081278 202.948527662006 226.322405081903 189.704911083589
172.032599221669 183.236715779988 208.082262344078 179.067387605925
163.138430868682 167.690891875757 185.236567589182 167.909525180065
170.506589272427 187.016035142475 240.055377355202 195.235026993287
183.748563449671 209.805610068234 250.150966710027 210.202204959267
179.418046184588 204.294945287415 271.117841441311 218.137595059062
173.748159823387 191.99941116825 202.225912026617 178.864630564944
215.451774821942 282.280802039432 347.076839363061 249.664751464111
181.762396571698 187.987029899395 252.515973025508 181.488737937136
166.25685713721 180.899768024991 216.170052269966 176.796978913325
161.169652340081 172.626897075285 214.650729414079 176.549378483787
178.513829057604 212.659941164071 290.367057942717 226.730948123865
163.07473284525 186.168023990918 297.0053093252 217.322630328812
167.936535151754 201.44842243798 270.499037175847 221.623800869421
161.020357878266 167.549957287565 201.910415503651 169.646622572617
169.872548946411 179.052146147912 197.148503638622 174.74733947443
168.453144823909 185.471951362006 251.836748824421 208.454176293408
175.677170226905 196.505019503708 270.019554833941 202.216678160911
171.867622730143 195.023063627555 305.980756096255 220.99003465965
175.39277212205 206.318735458819 250.355166998713 208.447051168951
167.172089694167 180.368120847324 308.3956253368 221.47168476421
172.521175943425 182.18733144165 200.36110521116 178.687513337792
168.567194040308 180.230541573659 230.956382540429 184.540312524225
169.373033728041 193.709327750839 258.566033452241 196.462793911597
193.461960482065 264.766121516934 366.081206695104 271.520880834267
167.028293603493 179.543344595422 236.329878538707 189.693776033526
176.148023268048 194.659671918931 279.262547423242 213.628263468082
170.210822213958 173.940747248502 199.175375906779 175.751103292612
171.62637815165 182.692991505635 240.7531672098 194.302585837095
175.25111273385 207.690069469283 237.903679312805 205.657660917967
165.521092702544 183.917437503956 276.179219903522 210.450004759849
192.445163864094 219.446273422984 256.032551952512 207.283428354387
194.200946285006 222.422665403712 550.013805971166 319.983368857437
190.040543771209 221.098714999348 289.629200323009 221.720029903351
165.833151564423 180.776904581362 220.352331695775 178.579260812378
162.198405347756 174.306560082862 193.720233305217 173.740367399625
186.712140219873 199.837420720142 262.793150608652 196.374438246274
179.411761844093 206.634703903088 261.482062250101 209.301861713909
160.505295197054 176.957272837643 207.606917413804 173.320841079407
163.253644453495 169.828002014549 184.173694959496 166.249891549432
168.738018236844 177.370588795485 234.273423967762 183.193462409059
179.855014495363 216.70427022122 253.243481595709 199.95164172798
167.942964123231 176.123270138612 221.167900826022 179.147300952125
217.441742918022 271.370142206446 334.849423799474 264.691540873779
175.860766750708 197.162845414774 270.140816176563 205.625289209187
190.351058323458 242.460980052618 261.78225590038 239.481335755933
169.980117145485 186.079054903008 225.963773429492 183.374695862294
171.065072346 186.45434801469 206.759884307619 178.263187610681
173.17084243498 208.66043773413 251.891912578024 200.565536869304
173.505165129503 180.066485770252 225.412442509429 178.040359029663
184.473444266165 203.070188326481 282.458814600757 203.528416147777
168.339205212055 178.505201122803 209.235403669188 182.631166493921
172.414350521071 186.705181054812 230.546608442423 195.643761431773
168.214217037054 181.11552997091 218.539336594151 181.836830439939
179.123312726192 202.314752608401 224.186025706131 189.700987138958
175.723762569614 184.341503108328 240.020001332962 190.406804167102
243.88485613831 292.726364517931 320.02866487924 223.721636474462
178.949188077135 202.594618996603 249.163404582425 209.730425790084
163.917284013097 175.280160420486 221.433181956962 174.706976966256
173.653538900486 203.680815326123 260.035422498589 204.155766972706
179.076846124001 218.172501497231 263.39249023988 217.762473952286
198.471098667154 297.674768493769 387.634984286713 295.850523079454
172.454617720243 180.84712882979 271.018262393085 189.789838765668
185.201714023516 202.135360130013 245.121088228196 194.342953390902
164.047897348768 188.195940927236 245.361577495599 200.005240490148
164.773548122989 186.366617792911 253.28929241267 200.782643810182
183.506526860275 209.57032288291 210.916063813626 187.621778948885
189.652209561139 210.886443052912 234.109479160373 197.408065605398
180.365974123345 178.250923384512 217.840533570368 175.21873055353
192.245547162015 218.323277885497 308.224531722292 229.095021082276
156.17725729988 165.28850222153 233.259846981049 177.45107198666
181.896553642471 203.705020031966 228.141679487591 194.943575718665
174.293576328545 187.370652917966 232.868753586454 184.003740985636
171.563903395331 191.74672301157 232.992385548305 188.390290530192
173.105380229259 192.805502840021 219.743100002418 192.783896184537
172.798385839883 202.471890952025 237.458239690603 193.188344453336
187.620551646635 225.625589762747 295.084268056464 232.374846942838
172.973078310708 181.793679837539 206.891719665103 181.407706424106
174.292143884232 181.034242155751 221.950476522747 185.423537206327
202.816107407312 271.459523473557 333.659746909606 259.970320673711
179.06233147513 182.457974004631 221.993251193158 180.450172720303
187.251142650036 251.167523423794 281.247557491582 243.330483349411
186.260136046531 215.047305370458 326.62220808129 227.06850104451
177.028400926046 206.963720674364 236.236546941833 205.859116415166
191.789464331586 206.167470530677 235.744016234953 183.598235926846
248.189895407472 308.719497528417 387.363196222111 263.436684610164
165.944666187582 182.942186122668 235.348347274971 185.353331681683
189.862234166316 214.567622163129 334.920123031944 268.559775049022
184.743574205293 205.869266724094 286.77179746919 197.406675982211
177.390819776558 198.11719216002 252.935826730697 213.313678307364
172.890757520587 186.605011279423 212.913874346525 185.872599071573
170.684245789266 178.168214162461 255.18025780914 190.742106526685
166.348550062371 184.939507266272 211.606262400402 176.64139974075
184.220568458854 225.233409376923 290.911439075886 221.350295240129
182.376241003039 203.347633738485 231.629068034006 187.662213515858
167.266218273501 185.540937081614 232.762945318195 191.959331056523
178.977428848781 202.399214696758 223.837740901473 189.866580836303
169.043807400707 187.429109533154 212.060853167753 182.33364284968
186.733989395113 207.27784616484 251.068655806454 209.211758508478
175.433190843974 201.090310576886 395.645126901324 232.469923168366
197.045190079589 241.851279655266 281.844663713754 218.833282654149
175.559673256276 186.424345061074 214.318777511957 185.829472836491
159.500004363044 179.296902970288 226.63600457965 189.727403106884
168.61557954488 175.444197728792 202.514851918344 174.536314512316
179.623977332777 195.414579201221 245.399275901626 193.50267815054
161.907878356702 170.053319306999 209.514052144538 168.220062012872
160.167509450939 172.108463872026 207.390222240388 178.188354059489
169.81641927302 187.925037454036 249.487147392315 203.59093385529
