"n_obs" "vglm_cl_N" "vglm_cl_LB" "vglm_cl_UB" "em_cl_N" "em_cl_LB" "em_cl_UB" "em_el_N" "em_el_LB" "em_el_UB" "em_pel_N" "em_pel_LB" "em_pel_UB"
132 218.617639773411 112.482329176258 324.752950370563 217.712127697745 108.421108548253 327.003146847238 208.17257424371 156.113592549887 434.175558835252 206.718337769518 155.982566394948 392.42662814889
124 216.311264624806 77.5401284815919 355.082400768021 214.765306701762 61.1672342648159 368.363379138708 200.662618929012 143.356838231772 564.153410269065 194.900271537632 142.942801383914 377.736770462532
118 283.079966733952 5.95240973221655 560.207523735687 279.622511811779 3.06636450859384 556.178659114965 255.866300112783 148.220943773082 1112.88081632909 221.784270725847 145.691903861571 419.075191481163
131 252.732365306455 23.2760339689961 482.188696643914 248.558998277223 34.6553980624333 462.462598492012 224.113156501874 151.667896909607 1069.04472614963 214.065086741492 151.172257769456 464.673143943827
131 167.612667909595 127.000369159741 208.224966659449 167.39558573573 124.867634131244 209.923537340215 163.134829888874 141.229332720508 237.747432908961 163.033250415992 141.221156468567 234.66015107486
128 197.798726340377 112.453984654301 283.143468026454 197.148693420076 118.558409714242 275.73897712591 188.958995422868 146.837883769069 365.592263120025 187.830381950725 146.737333867821 334.967489001366
119 179.269432695652 103.061451926232 255.477413465073 178.713264108376 105.721160549546 251.705367667206 170.966847460817 134.165954509713 330.601986412349 169.940205104675 134.078631323927 300.053488011956
130 234.007371336333 67.3141513531888 400.700591319478 231.730809668731 53.3341901341694 410.127429203293 214.773161485201 151.20017668249 715.12816557227 206.661835023897 150.64454416176 404.818847445809
138 272.022868123482 58.8289275784776 485.216808668486 269.138759021902 58.8483380316569 479.429180012148 248.754392273998 165.093796465492 837.122803320415 233.058264968691 163.960852640372 446.062190977819
137 190.775198867557 129.448171553838 252.102226181276 190.406031805965 132.783489166449 248.028574445481 184.252931840658 151.977902051171 298.852456122784 183.668013076007 151.919699177565 286.670378200912
131 185.201172560034 121.691959631343 248.710385488724 184.782600947878 121.729823209917 247.835378685839 178.412670111251 146.089372161348 303.754653560485 178.061623805035 146.060041686468 293.000417426741
124 140.079960811786 122.964545486216 157.195376137356 140.038780282072 122.426045571214 157.65151499293 138.023047997572 127.655280142187 164.986704904893 138.013517635123 127.654907437244 164.678090328881
126 185.786430767653 119.67496206174 251.897899473566 185.397261790764 114.94178028517 255.852743296357 179.285396736183 143.724461931193 303.051796405245 178.782445943213 143.676453421966 292.538216836667
131 224.239479709454 94.0248167600448 354.454142658864 222.610359624486 91.4780746732567 353.742644575715 210.431741509547 154.442506605143 559.561365337293 208.2308495708 154.279226582674 441.73241875925
137 210.639586934475 136.5919665579 284.68720731105 210.192405571685 129.502154303653 290.882656839717 204.180088143742 161.991503757356 337.902129470279 203.805356658558 161.950045080983 331.06534304604
126 282.337731088337 44.1539451374464 520.521517039227 279.444968049095 73.8941279609788 484.99580813721 259.745445369737 160.164988078623 924.567912308139 242.337982743044 158.832817285667 498.490120078495
135 333.85793568719 -65.000333376667 732.716204751046 325.399440864134 -78.4830289601085 729.281910688376 288.758367272226 164.285360498849 1916.2120938264 245.459699158314 161.937574888597 482.102826104044
130 554.314920341658 -295.990683256118 1404.62052393944 533.944622236817 -285.346755927892 1353.23600040153 488.599148022591 197.318650760461 4336.88310076782 339.157111745687 187.632099835681 695.168841278738
118 165.422730097831 106.300952523811 224.544507671851 164.95994923242 105.998016998804 223.921881466036 158.798040818645 130.253658439116 288.999604380822 158.437357473545 130.227576181233 272.388788158034
121 238.785411490262 30.1238462845577 447.446976695966 235.590652434367 23.3400873739728 447.841217494762 214.247450465392 141.624348320742 924.237280147796 202.664760192932 140.975636961484 421.579302085538
122 202.360359755538 95.6889261722031 309.031793338874 201.411181940544 82.2754317550876 320.546932126001 191.154559227133 142.174558337393 435.031823418189 189.26849322536 142.024592078737 370.395087563145
132 231.789239933022 53.2927302025088 410.285749663535 228.999154621227 30.701480537266 427.296828705187 209.164872015831 149.506470301451 840.237370043533 199.546800808335 148.924624708765 378.396454254706
124 270.71229730101 59.9308077085201 481.493786893501 268.212808016324 61.8661242699007 474.559491762748 251.413074709941 159.498076908397 813.297677654313 244.211945470946 158.970389598274 562.852579320486
135 180.073983061156 132.526042338019 227.621923784293 179.800186565207 130.587344451434 229.013028678981 175.231784217444 148.806871176291 264.620575467679 175.050351603615 148.790027001928 260.084611057431
135 181.319879316211 119.851280326971 242.78847830545 180.823360958246 122.058817626407 239.587904290084 173.74619940304 145.472768408698 309.591390436983 172.482996158659 145.363501313138 269.498669790823
120 196.126750818381 77.6867518338614 314.566749802902 194.675598633908 64.7967216014157 324.5544756664 181.942495769284 135.778645513669 519.028329061641 178.326661250504 135.533593867252 347.223544784721
114 142.567761439313 110.837794302939 174.297728575687 142.417216603866 111.110219083272 173.72421412446 139.001405071776 121.534280394001 196.600485897454 138.936978714832 121.530898312573 194.739738605394
134 241.706158042437 58.398541934546 425.013774150328 238.553137511894 74.6264295556505 402.479845468138 219.897635301807 156.037668474735 840.625864638572 213.370905315217 155.644028260561 451.611571664501
124 197.093672082993 99.9332537248408 294.254090441146 196.168023709944 104.009976670932 288.326070748957 186.589059106047 142.347847285899 413.966928596362 184.986298936422 142.219783875881 353.043311946583
138 177.228517792774 123.698868336397 230.75816724915 176.833136330389 119.959035294947 233.70723736583 170.217707076866 146.162845624928 282.729425072715 169.326304809847 146.089913906616 254.415314604973
129 150.682569132944 129.973955236081 171.391183029807 150.631287731715 129.59985495943 171.662720504001 148.506064372089 135.372888580906 180.243615812848 148.504092688101 135.372864143526 180.084483708314
129 241.081167977841 70.9962857427292 411.166050212952 238.83559009884 58.8558095831433 418.815370614536 222.785919475013 153.8114051313 702.181181479062 216.590074857267 153.378151786869 455.554855439616
127 170.753650139563 114.349762364917 227.157537914208 170.291114507899 114.25792807692 226.324300938879 164.038544487919 137.685491585776 289.908799348826 163.589372290416 137.650384671654 269.036388314506
125 225.652991455532 77.3585155992875 373.947467311776 223.928971322864 73.3897159797187 374.468226666008 209.666855889558 147.90704226815 599.28534039901 205.604942427856 147.626002840758 434.595961366357
115 215.755484063216 52.4044744884297 379.106493638003 213.833616419581 60.570483132795 367.096749706367 197.114964721395 133.972877875232 657.754583953803 188.955188917516 133.457657965472 381.93295342155
122 3397.18502629528 -7410.51344639471 14204.8834989853 2779.60061919899 -7489.92185266286 13049.1230910608 2822.72593891884 315.69828429237 120134.247156967 502.574471390137 225.21745611006 1032.60162177315
127 146.0165412919 125.693051490082 166.340031093719 145.938375608007 125.242303590494 166.634447625521 143.643839421431 131.773093840374 179.487925021627 143.634553549684 131.772755562944 178.953494498514
129 183.442602769656 114.836122162014 252.049083377299 182.919229844458 104.498986886449 261.339472802468 175.743393280105 143.101218110216 326.40279778005 175.04556183004 143.043126455706 299.831525416258
