"n_obs" "vglm_cl_N" "em_cl_N" "em_el_N" "em_pel_N" "vglm_cl_norm" "em_cl_norm" "em_el_elr" "em_pel_elr"
132 218.617639773411 217.712127697745 208.17257424371 206.718337769518 0.343805499109774 0.317639387456628 0.039030387792991 0.0286966861513065
124 216.311264624806 214.765306701762 200.662618929012 194.900271537632 0.230375653723331 0.18841036802738 0.00059859117141059 0.00729847933280325
118 283.079966733952 279.622511811779 255.866300112783 221.784270725847 0.587576870366277 0.564287783987021 0.420386411752133 0.140558589637749
131 252.732365306455 248.558998277223 224.113156501874 214.065086741492 0.450427914618144 0.444938222886995 0.130978326441436 0.0657995065737396
131 167.612667909595 167.39558573573 163.134829888874 163.033250415992 -1.56302416771622 -1.50262298756598 1.66242984777909 1.71889914480721
128 197.798726340377 197.148693420076 188.958995422868 187.830381950725 -0.0505528168196557 -0.0711087674202867 0.0639026176181687 0.0848982148384039
119 179.269432695652 178.713264108376 170.966847460817 169.940205104675 -0.533161551918577 -0.571585605316513 0.434361377522691 0.516506685608192
130 234.007371336333 231.730809668731 214.773161485201 206.661835023897 0.399855633209513 0.348612234431716 0.0698710644976472 0.0212867460527377
138 272.022868123482 269.138759021902 248.754392273998 233.058264968691 0.662130580374087 0.644392060183321 0.603662353500795 0.422306451701843
137 190.775198867557 190.406031805965 184.252931840658 183.668013076007 -0.294817452860419 -0.32632770557814 0.227988505488838 0.259606015270265
131 185.201172560034 184.782600947878 178.412670111251 178.061623805035 -0.456708050032439 -0.473025220308046 0.36689329477008 0.394918066936953
124 140.079960811786 140.038780282072 138.023047997572 138.013517635123 -6.86171597516978 -6.67254875779073 9.00055142607039 9.25835705475629
126 185.786430767653 185.397261790764 179.285396736183 178.782445943213 -0.421380500728082 -0.406225894056208 0.315958278199105 0.346581890411471
131 224.239479709454 222.610359624486 210.431741509547 208.2308495708 0.364847599789724 0.337944927581886 0.0496273627647952 0.0347596362337299
137 210.639586934475 210.192405571685 204.180088143742 203.805356658558 0.281618870341872 0.247573251073049 0.0183007473549424 0.0156681064511304
126 282.337731088337 279.444968049095 259.745445369737 242.337982743044 0.677539769794228 0.757521964212898 0.674308694097817 0.495919415383241
135 333.85793568719 325.399440864134 288.758367272226 245.459699158314 0.657769321437253 0.608539379988732 0.919665013212352 0.55798441340994
130 554.314920341658 533.944622236817 488.599148022591 339.157111745687 0.816699878392574 0.798884804428409 3.63986980748928 2.78762299072764
118 165.422730097831 164.95994923242 158.798040818645 158.437357473545 -1.146281564473 -1.16477250522936 1.07040999371952 1.15921891468543
121 238.785411490262 235.590652434367 214.247450465392 202.664760192932 0.364312467279437 0.328651171966463 0.0447522524593751 0.00362296911066551
122 202.360359755538 201.411181940544 191.154559227133 189.26849322536 0.0433688753962305 0.0232160856400763 0.0265541669948561 0.0458695700319822
132 231.789239933022 228.999154621227 209.164872015831 199.546800808335 0.349058732065363 0.28662614880519 0.0279518928853122 -0.00014289837713477
124 270.71229730101 268.212808016324 251.413074709941 244.211945470946 0.657522424013683 0.647912748433776 0.581563801333914 0.508892924125121
135 180.073983061156 179.800186565207 175.231784217444 175.050351603615 -0.821366287614348 -0.804483243115555 0.739117602167426 0.76956213756921
135 181.319879316211 180.823360958246 173.74619940304 172.482996158659 -0.595627106671131 -0.639595234393645 0.540763970045191 0.703474678244902
120 196.126750818381 194.675598633908 181.942495769284 178.326661250504 -0.0640951449190216 -0.0803489771024571 0.0940764721542564 0.182264074010163
114 142.567761439313 142.417216603866 139.001405071776 138.936978714832 -3.54759646130929 -3.60495066675604 4.07698971367245 4.23058192818507
134 241.706158042437 238.553137511894 219.897635301807 213.370905315217 0.445931104404303 0.460954544603571 0.12529458572476 0.0749090645697379
124 197.093672082993 196.168023709944 186.589059106047 184.986298936422 -0.0586277636598726 -0.0814962530069787 0.0738678963298298 0.105424995664407
138 177.228517792774 176.833136330389 170.217707076866 169.326304809847 -0.833767555999591 -0.79836371213837 0.817105408643329 1.01193838707854
129 150.682569132944 150.631287731715 148.506064372089 148.504092688101 -4.6676416292699 -4.60077537544029 6.71131162879669 6.77389554245019
129 241.081167977841 238.83559009884 222.785919475013 216.590074857267 0.473396627738537 0.422916161437632 0.156249741104148 0.103860839769823
127 170.753650139563 170.291114507899 164.038544487919 163.589372290416 -1.01627378301894 -1.0391760543025 0.956326222060397 1.06398764041478
125 225.652991455532 223.928971322864 209.666855889558 205.604942427856 0.339047958855164 0.311546127108168 0.0334315800812419 0.014430546266567
115 215.755484063216 213.833616419581 197.114964721395 188.955188917516 0.189041876161537 0.176907449148816 0.00034062376721522 0.0315285480401144
122 3397.18502629528 2779.60061919899 2822.72593891884 502.574471390137 0.579805915133921 0.492323213857344 8.4316113969262 5.54868063728327
127 146.0165412919 145.938375608007 143.643839421431 143.634553549684 -5.2060761149059 -5.11975589688583 5.91585162906244 6.06025284967654
129 183.442602769656 182.919229844458 175.743393280105 175.04556183004 -0.473015114050057 -0.426901180999835 0.392188502187992 0.449329592423283
130 188.754974281786 188.252675451148 181.54499514535 181.120895826545 -0.31936842718228 -0.335069033452415 0.243015613132911 0.264989688898368
127 220.120034727485 219.095397493256 207.94621430771 204.855099756741 0.325443206981982 0.33005289525158 0.0291327081563395 0.013337151161295
122 175.963200980789 174.904885778328 164.692156891157 163.52942506393 -0.54535722262503 -0.515048837970331 0.502013049899006 0.641036123708545
122 151.386369070745 151.070750142838 145.899235973973 145.677965958947 -2.31366100016322 -2.18848929646954 2.24738540588214 2.53863667504629
123 151.309196391423 151.185022644467 147.878512643188 147.830529676194 -3.11257610626318 -3.05118039949584 3.70435796428683 3.81611912626568
131 176.096092908045 175.659946553424 168.975007768081 168.489503745151 -0.795563837528537 -0.831946651272567 0.736536670591931 0.82235989390756
122 143.894508015163 143.826499131552 141.387286867089 141.352643892935 -4.88728728437193 -4.83470318294664 6.55467098443569 6.72704951238302
125 198.701153574783 198.059343449766 190.050528196841 188.468649193372 -0.0290874688928444 -0.0496746697041732 0.0488508809264658 0.0735341544148014
121 195.848866419019 195.060930780113 186.079109260922 184.87102514789 -0.0857859872708973 -0.0926191180606224 0.0805102546694343 0.105103491379396
126 150.065477781149 149.992384168218 147.526560956655 147.509253742909 -4.11590420524696 -4.12025731362081 5.69518038279944 5.79158862340955
125 216.098699739605 212.461263520436 189.578387598797 186.162325608116 0.166677410618916 0.130529303644383 0.0155348576688539 0.041577204422083
138 162.861276389385 162.677708716354 159.151820816505 159.086184595072 -2.42633924927899 -2.33929313922037 2.54020305621293 2.64412314043079
129 194.331529614442 193.027731578052 180.588871115264 178.967034293477 -0.104951501119954 -0.129946994263388 0.140065223506326 0.195231697031431
130 227.255060520732 225.598792978159 213.771830099058 212.024007477701 0.403864558836492 0.389380179352951 0.0833909354182651 0.0688719649501763
121 168.536351402926 168.202096721616 163.000782621321 162.641181514737 -1.15794336729761 -1.22701110281883 1.12004259343371 1.20464656580702
119 170.238195057008 169.788092922068 163.471006269973 162.985013206365 -0.937564773104985 -1.00979759331163 0.849355986600813 0.932768588200361
124 238.456424148584 235.38823952788 213.103878234164 201.048164377735 0.363370632868866 0.32042060540609 0.0402621536748029 0.00104364551907565
134 232.586119656716 231.633303862788 221.586309460253 218.737476563933 0.541304022542978 0.469324520846764 0.23441801611375 0.195875299611998
130 161.631755170671 161.469719521046 157.992367494679 157.840549356534 -2.24755884620765 -2.42512430527452 2.63411820323381 2.76433119058333
123 146.509105086908 146.4311716503 143.932350732476 143.924351065988 -4.41194060689444 -4.27655607235087 5.83805189023292 5.92440138961933
114 170.702727540632 170.163223611221 162.012741876857 160.859437788865 -0.758273202995935 -0.820363242902184 0.665330788774554 0.807492730014928
124 185.84507492893 185.288456023284 178.219785527131 177.728155655349 -0.375235556899196 -0.367909368443246 0.284185087755304 0.311859407168185
124 176.811220669911 176.304559233956 168.338433105953 167.221576505944 -0.639993664538958 -0.644625771225617 0.56584491867693 0.695859868180833
126 270.749760636531 268.161531642283 250.770831817311 240.193838413275 0.65435569690277 0.550029589947006 0.57264266545485 0.462282988887409
127 188.690611626107 187.581936933773 176.914798149567 175.802599159036 -0.235495516403943 -0.273195366197344 0.223509637838106 0.278645963954204
120 288.281971624289 284.989454223661 265.766792981982 253.128509521974 0.682700036336247 0.693763161702372 0.718533771480907 0.603693953153197
128 242.57472911542 240.52563608899 225.183025971 219.321551798238 0.496501877357302 0.415815123371602 0.190744349901934 0.137562114432967
127 170.07256590255 169.83031110886 165.09491232963 164.840361006278 -1.24479293524255 -1.30874463017447 1.26012216384834 1.33221246979815
128 189.675019922188 189.219677975117 182.658676524584 182.083456494643 -0.28932609346214 -0.320927598330971 0.210357825640131 0.237226539174799
119 810.151211504812 724.392962562661 601.255734396571 267.413459250373 0.529362790926166 0.442170014453683 1.48825040230258 0.549360425033456
127 172.546372104972 172.222190971971 166.592772225886 166.267148603384 -1.00296730918031 -1.06895375780941 0.952338744522422 1.02266819943202
129 162.688778157676 162.495405018792 158.017465180258 157.750113484508 -1.84848653086596 -1.78450385564419 2.04770468897186 2.21773910388379
129 159.066274006471 158.900119713699 155.248459433586 155.181550513173 -2.39964703755227 -2.14402344217599 2.74721812783127 2.83807681910002
128 269.82649665659 266.856538708634 249.521928873295 243.005690084035 0.650773798720397 0.62676143512012 0.577953810468216 0.512121822588597
123 189.989348208604 189.032381496665 178.544349910055 175.02676836054 -0.203371645133342 -0.218898131292548 0.180558184229312 0.330704936686288
128 160.564354400257 160.217244456254 154.998666334152 154.827696942483 -1.76686068005282 -1.62957066652218 1.72638603920473 1.86192676725068
129 210.943650900027 210.167117483765 201.385585698182 199.451016951101 0.218791550444433 0.194073118256581 0.00188740643284291 -8.95661432878114e-05
127 168.09192493156 167.794972849841 162.616756150368 162.3070226462 -1.28983010096023 -1.25684645047693 1.29023800417667 1.38689950858839
131 193.926803739952 193.201165427782 185.509973191055 184.953023738958 -0.151561559852754 -0.178863028379866 0.127918283548297 0.146070374486499
128 164.051801618392 163.875242490824 159.975184824751 159.860752923967 -1.83890305161151 -1.84474464495407 2.06549626800097 2.13301842669262
122 197.964949746873 196.29804083667 182.261013019226 178.504939604505 -0.031931617137019 -0.0544437913463296 0.0855087136094426 0.173271168196607
122 207.090295078456 205.545950722434 193.201320481402 190.51585076224 0.111205443968613 0.087048996718013 0.0113536720118645 0.0292878664324689
